name,gc_result,giro_w,stage_result,stage_wins,top10,giro_total,year
De Plus Laurens,23,-,13,-,-,89,2019
Perez Anthony,85,-,13,-,-,79,2019
Grellier Fabien,117,-,14,-,-,77,2019
Jansen Amund Grøndahl,128,-,15,-,-,76,2019
Kluge Roger,139,-,18,-,-,75,2019
Ledanois Kévin,96,-,20,-,-,75,2019
Cosnefroy Benoît,107,-,20,-,-,75,2019
Tratnik Jan,93,-,3,-,-,75,2019
Haig Jack,38,-,4,-,-,75,2019
Offredo Yoann,91,-,22,-,-,75,2019
Zabel Rick,134,-,11,-,-,68,2019
Hepburn Michael,117,-,10,-,-,60,2019
Pöstlberger Lukas,116,-,12,-,-,60,2019
Felline Fabio,65,-,5,-,-,57,2019
Wellens Tim,94,-,13,-,-,54,2019
Gougeard Alexis,115,-,29,-,-,50,2019
Backaert Frederik,120,-,23,-,-,50,2019
Scully Tom,129,-,33,-,-,50,2019
Haga Chad,72,-,17,-,-,50,2019
Berhane Natnael,86,-,26,-,-,50,2019
King Ben,53,-,17,-,-,50,2019
Rosskopf Joey,73,-,10,-,-,35,2019
Würtz Schmidt Mads,117,-,13,-,-,31,2019
Dowsett Alex,151,-,13,-,-,29,2019
Rossetto Stéphane,100,-,34,-,-,25,2019
Bevin Patrick,114,-,24,-,-,25,2019
De Gendt Aimé,136,-,64,-,-,25,2019
Van Melsen Kévin,138,-,74,-,-,25,2019
Bystrøm Sven Erik,110,-,19,-,-,25,2019
Wiśniowski Łukasz,127,-,42,-,-,25,2019
Ourselin Paul,95,-,43,-,-,25,2019
Gonçalves José,128,-,76,-,-,25,2019
Eiking Odd Christian,111,-,16,-,-,25,2019
Moscon Gianni,84,-,29,-,-,25,2019
Sagan Peter,42,-,1,12,12,4758,2020
Valverde Alejandro,3,-,1,4,4,4135,2020
Quintana Nairo,2,-,1,3,3,2901,2020
Bardet Romain,2,-,1,3,3,2863,2020
Greipel André,123,-,1,11,11,2800,2020
Mollema Bauke,6,-,1,2,2,2292,2020
Kristoff Alexander,114,-,1,4,4,2283,2020
Boasson Hagen Edvald,53,-,1,3,3,2168,2020
Rolland Pierre,8,-,1,2,2,2066,2020
Martin Dan,6,-,1,2,2,2057,2020
Pogačar Tadej,1,2,1,6,6,2024,2020
Kreuziger Roman,5,-,4,-,-,1975,2020
Urán Rigoberto,2,-,1,1,1,1914,2020
Porte Richie,3,-,2,-,-,1887,2020
Pinot Thibaut,3,-,1,3,3,1838,2020
Alaphilippe Julian,5,-,1,6,6,1678,2020
Landa Mikel,4,-,3,-,-,1610,2020
Dumoulin Tom,2,-,1,3,3,1605,2020
Roglič Primož,2,-,1,3,3,1577,2020
Van Avermaet Greg,28,-,1,2,2,1550,2020
Barguil Warren,10,-,1,2,2,1377,2020
Degenkolb John,109,-,1,1,1,1289,2020
Van Aert Wout,19,-,1,6,6,1208,2020
Van Garderen Tejay,5,-,2,-,-,1197,2020
Martin Tony,36,-,1,5,5,1175,2020
Roche Nicolas,12,-,2,-,-,1135,2020
Rojas José Joaquín,68,-,3,-,-,1112,2020
Gesink Robert,5,-,2,-,-,1094,2020
Sánchez Luis León,10,-,1,4,4,1063,2020
Kwiatkowski Michał,11,-,1,1,1,1000,2020
Martin Guillaume,8,-,3,-,-,997,2020
Yates Adam,4,-,3,-,-,996,2020
Gilbert Philippe,38,-,1,1,1,992,2020
Aru Fabio,5,-,1,1,1,956,2020
Bernal Egan,1,1,4,-,-,942,2020
Ewan Caleb,132,-,1,5,5,880,2020
Trentin Matteo,52,-,1,3,3,859,2020
Caruso Damiano,10,-,4,-,-,847,2020
Nieve Mikel,12,-,3,-,-,843,2020
Carapaz Richard,3,-,2,-,-,840,2020
Mas Enric,5,-,4,-,-,821,2020
Buchmann Emanuel,4,-,3,-,-,814,2020
Coquard Bryan,104,-,2,-,-,814,2020
Colbrelli Sonny,52,-,2,-,-,803,2020
De Gendt Thomas,40,-,1,2,2,764,2020
Stuyven Jasper,39,-,2,-,-,708,2020
Laporte Christophe,91,-,2,-,-,688,2020
Lutsenko Alexey,7,-,1,1,1,656,2020
Izagirre Ion,22,-,1,1,1,642,2020
Vuillermoz Alexis,13,-,1,1,1,617,2020
Impey Daryl,38,-,1,1,1,597,2020
Poels Wout,16,-,3,-,-,593,2020
Izagirre Gorka,22,-,2,-,-,561,2020
Oss Daniel,69,-,4,-,-,545,2020
Bennett Sam,138,-,1,2,2,528,2020
Geschke Simon,25,-,1,1,1,520,2020
Zakarin Ilnur,9,-,1,1,1,512,2020
Gaudu David,11,-,4,-,-,511,2020
Reichenbach Sébastien,14,-,3,-,-,505,2020
Bilbao Pello,9,-,2,-,-,505,2020
Viviani Elia,130,-,1,1,1,503,2020
Gautier Cyril,25,-,4,-,-,490,2020
López Miguel Ángel,6,-,1,1,1,440,2020
Jungels Bob,11,-,4,-,-,436,2020
Kuss Sepp,15,-,1,1,1,390,2020
Benoot Tiesj,20,-,2,-,-,373,2020
Kragh Andersen Søren,52,-,1,2,2,370,2020
Herrada Jesús,20,-,2,-,-,368,2020
Latour Pierre,13,-,2,-,-,354,2020
Erviti Imanol,67,-,2,-,-,348,2020
Castroviejo Jonathan,23,-,6,-,-,340,2020
Küng Stefan,49,-,2,-,-,340,2020
Bonnet William,99,-,5,-,-,336,2020
Mezgec Luka,88,-,2,-,-,334,2020
Cherel Mikaël,18,-,8,-,-,334,2020
Naesen Oliver,61,-,4,-,-,333,2020
Devenyns Dries,46,-,3,-,-,320,2020
Chaves Esteban,13,-,10,-,-,318,2020
Bol Cees,140,-,2,-,-,308,2020
Calmejane Lilian,30,-,1,1,1,306,2020
Mohorič Matej,31,-,1,2,2,305,2020
Kämna Lennard,33,-,1,1,1,300,2020
Asgreen Kasper,64,-,2,-,-,291,2020
Politt Nils,50,-,1,1,1,285,2020
Hirschi Marc,54,-,1,1,1,284,2020
Arndt Nikias,67,-,2,-,-,276,2020
Pedersen Mads,124,-,2,-,-,276,2020
Valgren Michael,44,-,4,-,-,260,2020
Schär Michael,43,-,17,-,-,250,2020
Skujiņš Toms,71,-,2,-,-,246,2020
Theuns Edward,88,-,5,-,-,243,2020
Périchon Pierre-luc,42,-,4,-,-,242,2020
Pozzovivo Domenico,18,-,5,-,-,237,2020
Ladagnous Matthieu,71,-,5,-,-,235,2020
Sicard Romain,31,-,7,-,-,233,2020
Higuita Sergio,25,-,3,-,-,233,2020
Mørkøv Michael,93,-,2,-,-,231,2020
Fraile Omar,57,-,1,1,1,228,2020
Soler Marc,21,-,7,-,-,225,2020
Edet Nicolas,43,-,6,-,-,223,2020
Verona Carlos,19,-,3,-,-,216,2020
Marcato Marco,67,-,7,-,-,209,2020
Bennett George,24,-,7,-,-,207,2020
Keukeleire Jens,59,-,3,-,-,202,2020
Martínez Daniel Felipe,28,-,1,1,1,199,2020
Elissonde Kenny,25,-,2,-,-,184,2020
Oliveira Nelson,47,-,3,-,-,183,2020
Anacona Winner,57,-,3,-,-,175,2020
Mühlberger Gregor,25,-,3,-,-,174,2020
Turgis Anthony,73,-,9,-,-,168,2020
Nizzolo Giacomo,-,-,3,-,-,164,2020
Molard Rudy,33,-,14,-,-,162,2020
Van Baarle Dylan,46,-,10,-,-,160,2020
Amador Andrey,50,-,11,-,-,159,2020
Haller Marco,126,-,12,-,-,158,2020
De Marchi Alessandro,52,-,5,-,-,158,2020
Valls Rafael,41,-,2,-,-,155,2020
Bonifazio Niccolò,137,-,3,-,-,155,2020
Rowe Luke,128,-,7,-,-,147,2020
Pacher Quentin,35,-,4,-,-,144,2020
Hofstetter Hugo,115,-,4,-,-,139,2020
Madouas Valentin,27,-,4,-,-,137,2020
Pedersen Casper,92,-,3,-,-,136,2020
Reza Kévin,73,-,7,-,-,135,2020
Bettiol Alberto,62,-,5,-,-,135,2020
Bauer Jack,83,-,10,-,-,128,2020
Powless Neilson,43,-,4,-,-,126,2020
Peters Nans,65,-,1,1,1,125,2020
Houle Hugo,47,-,7,-,-,116,2020
Schachmann Maximilian,57,-,3,-,-,115,2020
De Buyst Jasper,118,-,10,-,-,105,2020
Venturini Clément,104,-,5,-,-,103,2020
Laengen Vegard Stake,82,-,14,-,-,102,2020
Juul-jensen Christopher,99,-,30,-,-,100,2020
Walscheid Max,121,-,10,-,-,92,2020
Debusschere Jens,145,-,5,-,-,90,2020
Soupe Geoffrey,123,-,11,-,-,88,2020
Perez Anthony,85,-,13,-,-,79,2020
Grellier Fabien,117,-,14,-,-,77,2020
Jansen Amund Grøndahl,128,-,15,-,-,76,2020
Consonni Simone,112,-,3,-,-,75,2020
Ledanois Kévin,96,-,20,-,-,75,2020
Cosnefroy Benoît,107,-,20,-,-,75,2020
Cousin Jérôme,93,-,23,-,-,75,2020
Kluge Roger,139,-,18,-,-,75,2020
Barthe Cyril,88,-,9,-,-,69,2020
Sivakov Pavel,87,-,4,-,-,65,2020
Pöstlberger Lukas,116,-,12,-,-,60,2020
Swift Connor,89,-,11,-,-,58,2020
De La Cruz David,72,-,8,-,-,53,2020
Hermans Ben,68,-,6,-,-,51,2020
Cavagna Rémi,113,-,6,-,-,51,2020
Gogl Michael,113,-,16,-,-,50,2020
Nieuwenhuis Joris,103,-,33,-,-,50,2020
Declercq Tim,127,-,22,-,-,50,2020
Polanc Jan,40,-,21,-,-,50,2020
Chevalier Maxime,93,-,38,-,-,50,2020
Rosa Diego,37,-,8,-,-,43,2020
Carthy Hugh,37,-,9,-,-,39,2020
Gibbons Ryan,121,-,10,-,-,35,2020
Van Asbroeck Tom,98,-,12,-,-,31,2020
Koch Jonas,125,-,13,-,-,29,2020
Tejada Harold,45,-,15,-,-,26,2020
Russo Clément,133,-,15,-,-,26,2020
Großschartner Felix,63,-,32,-,-,25,2020
Formolo Davide,44,-,20,-,-,25,2020
Cataldo Dario,80,-,46,-,-,25,2020
Hirt Jan,67,-,19,-,-,25,2020
Burgaudeau Mathieu,131,-,70,-,-,25,2020
Neilands Krists,85,-,38,-,-,25,2020
Eg Niklas,51,-,40,-,-,25,2020
Niv Guy,139,-,65,-,-,25,2020
Frison Frederik,145,-,64,-,-,25,2020
Quintana Dayer,95,-,45,-,-,25,2020
Cras Steff,-,-,79,-,-,0,2020
Bewley Sam,-,-,69,-,-,0,2020
Froome Chris,1,4,1,7,7,4939,2021
Sagan Peter,42,-,1,12,12,4758,2021
Cavendish Mark,130,-,1,34,34,4371,2021
Valverde Alejandro,3,-,1,4,4,4135,2021
Nibali Vincenzo,1,1,1,6,6,2990,2021
Quintana Nairo,2,-,1,3,3,2901,2021
Greipel André,123,-,1,11,11,2800,2021
Thomas Geraint,1,1,1,3,3,2444,2021
Mollema Bauke,6,-,1,2,2,2292,2021
Boasson Hagen Edvald,53,-,1,3,3,2168,2021
Rolland Pierre,8,-,1,2,2,2066,2021
Martin Dan,6,-,1,2,2,2057,2021
Pogačar Tadej,1,2,1,6,6,2024,2021
Urán Rigoberto,2,-,1,1,1,1914,2021
Porte Richie,3,-,2,-,-,1887,2021
Alaphilippe Julian,5,-,1,6,6,1678,2021
Roglič Primož,2,-,1,3,3,1577,2021
Van Avermaet Greg,28,-,1,2,2,1550,2021
Barguil Warren,10,-,1,2,2,1377,2021
Matthews Michael,67,-,1,3,3,1310,2021
Van Aert Wout,19,-,1,6,6,1208,2021
Martin Tony,36,-,1,5,5,1175,2021
Kruijswijk Steven,3,-,3,-,-,1146,2021
Gesink Robert,5,-,2,-,-,1094,2021
Fuglsang Jakob,7,-,2,-,-,1074,2021
Majka Rafał,19,-,1,3,3,1070,2021
Kwiatkowski Michał,11,-,1,1,1,1000,2021
Martin Guillaume,8,-,3,-,-,997,2021
Gilbert Philippe,38,-,1,1,1,992,2021
Démare Arnaud,138,-,1,2,2,907,2021
Ewan Caleb,132,-,1,5,5,880,2021
Carapaz Richard,3,-,2,-,-,840,2021
Mas Enric,5,-,4,-,-,821,2021
Coquard Bryan,104,-,2,-,-,814,2021
Buchmann Emanuel,4,-,3,-,-,814,2021
Meintjes Louis,8,-,4,-,-,805,2021
Colbrelli Sonny,52,-,2,-,-,803,2021
De Gendt Thomas,40,-,1,2,2,764,2021
Costa Rui,18,-,1,3,3,762,2021
Bakelants Jan,18,-,1,1,1,739,2021
Stuyven Jasper,39,-,2,-,-,708,2021
Vingegaard Jonas,2,-,2,-,-,696,2021
Laporte Christophe,91,-,2,-,-,688,2021
Lutsenko Alexey,7,-,1,1,1,656,2021
Yates Simon,7,-,1,2,2,656,2021
Izagirre Ion,22,-,1,1,1,642,2021
Poels Wout,16,-,3,-,-,593,2021
Oss Daniel,69,-,4,-,-,545,2021
Kelderman Wilco,5,-,4,-,-,537,2021
Geschke Simon,25,-,1,1,1,520,2021
Gaudu David,11,-,4,-,-,511,2021
Bilbao Pello,9,-,2,-,-,505,2021
Gautier Cyril,25,-,4,-,-,490,2021
Philipsen Jasper,109,-,2,-,-,465,2021
Bouhanni Nacer,138,-,2,-,-,461,2021
O'connor Ben,4,-,1,1,1,451,2021
López Miguel Ángel,6,-,1,1,1,440,2021
Teuns Dylan,17,-,1,2,2,404,2021
Simon Julien,87,-,6,-,-,394,2021
Kuss Sepp,15,-,1,1,1,390,2021
Henao Sergio,12,-,10,-,-,373,2021
Benoot Tiesj,20,-,2,-,-,373,2021
Kragh Andersen Søren,52,-,1,2,2,370,2021
Herrada Jesús,20,-,2,-,-,368,2021
Latour Pierre,13,-,2,-,-,354,2021
Erviti Imanol,67,-,2,-,-,348,2021
Cattaneo Mattia,12,-,2,-,-,348,2021
Castroviejo Jonathan,23,-,6,-,-,340,2021
Küng Stefan,49,-,2,-,-,340,2021
Mezgec Luka,88,-,2,-,-,334,2021
Naesen Oliver,61,-,4,-,-,333,2021
Konrad Patrick,27,-,1,1,1,321,2021
Devenyns Dries,46,-,3,-,-,320,2021
Chaves Esteban,13,-,10,-,-,318,2021
Bol Cees,140,-,2,-,-,308,2021
Mohorič Matej,31,-,1,2,2,305,2021
Asgreen Kasper,64,-,2,-,-,291,2021
Politt Nils,50,-,1,1,1,285,2021
Hirschi Marc,54,-,1,1,1,284,2021
Cort Magnus,56,-,1,1,1,284,2021
Pedersen Mads,124,-,2,-,-,276,2021
Valgren Michael,44,-,4,-,-,260,2021
Meurisse Xandro,21,-,3,-,-,253,2021
Schär Michael,43,-,17,-,-,250,2021
Lemoine Cyril,110,-,3,-,-,246,2021
Skujiņš Toms,71,-,2,-,-,246,2021
Teunissen Mike,76,-,1,1,1,245,2021
Theuns Edward,88,-,5,-,-,243,2021
Périchon Pierre-luc,42,-,4,-,-,242,2021
Higuita Sergio,25,-,3,-,-,233,2021
Mørkøv Michael,93,-,2,-,-,231,2021
Fraile Omar,57,-,1,1,1,228,2021
Soler Marc,21,-,7,-,-,225,2021
Mclay Daniel,170,-,3,-,-,217,2021
Verona Carlos,19,-,3,-,-,216,2021
Van Poppel Danny,120,-,3,-,-,211,2021
Van Der Poel Mathieu,-,-,1,1,1,200,2021
Bonnamour Franck,22,-,5,-,-,194,2021
Clarke Simon,61,-,9,-,-,186,2021
Elissonde Kenny,25,-,2,-,-,184,2021
Paret-peintre Aurélien,15,-,7,-,-,182,2021
Durbridge Luke,100,-,7,-,-,172,2021
Delaplace Anthony,78,-,10,-,-,168,2021
Turgis Anthony,73,-,9,-,-,168,2021
Van Baarle Dylan,46,-,10,-,-,160,2021
Guerreiro Ruben,18,-,5,-,-,159,2021
Haller Marco,126,-,12,-,-,158,2021
Woods Michael,32,-,3,-,-,152,2021
Rowe Luke,128,-,7,-,-,147,2021
Gesbert Élie,61,-,7,-,-,144,2021
Pacher Quentin,35,-,4,-,-,144,2021
Madouas Valentin,27,-,4,-,-,137,2021
Pedersen Casper,92,-,3,-,-,136,2021
Powless Neilson,43,-,4,-,-,126,2021
Peters Nans,65,-,1,1,1,125,2021
Merlier Tim,-,-,1,1,1,122,2021
García Cortina Iván,94,-,4,-,-,121,2021
Bernard Julien,30,-,10,-,-,118,2021
Houle Hugo,47,-,7,-,-,116,2021
De Buyst Jasper,118,-,10,-,-,105,2021
Guarnieri Jacopo,144,-,7,-,-,104,2021
Laengen Vegard Stake,82,-,14,-,-,102,2021
Hollenstein Reto,75,-,27,-,-,100,2021
Gruzdev Dmitriy,113,-,22,-,-,100,2021
Juul-jensen Christopher,99,-,30,-,-,100,2021
Aranburu Alex,74,-,6,-,-,95,2021
Walscheid Max,121,-,10,-,-,92,2021
Perez Anthony,85,-,13,-,-,79,2021
Jansen Amund Grøndahl,128,-,15,-,-,76,2021
Haig Jack,38,-,4,-,-,75,2021
Sweeny Harry,85,-,3,-,-,75,2021
Kluge Roger,139,-,18,-,-,75,2021
Cosnefroy Benoît,107,-,20,-,-,75,2021
Van Poppel Boy,117,-,9,-,-,72,2021
Ballerini Davide,108,-,4,-,-,69,2021
Barthe Cyril,88,-,9,-,-,69,2021
Zabel Rick,134,-,11,-,-,68,2021
Konovalovas Ignatas,127,-,4,-,-,65,2021
Bissegger Stefan,103,-,5,-,-,61,2021
Pöstlberger Lukas,116,-,12,-,-,60,2021
Swift Connor,89,-,11,-,-,58,2021
Van Moer Brent,65,-,8,-,-,57,2021
Bjerg Mikkel,110,-,7,-,-,55,2021
Dillier Silvan,59,-,14,-,-,54,2021
Declercq Tim,127,-,22,-,-,50,2021
Vakoč Petr,118,-,39,-,-,50,2021
Chevalier Maxime,93,-,38,-,-,50,2021
Nieuwenhuis Joris,103,-,33,-,-,50,2021
Gogl Michael,113,-,16,-,-,50,2021
Zimmermann Georg,80,-,8,-,-,43,2021
Rota Lorenzo,63,-,10,-,-,35,2021
Godon Dorian,75,-,10,-,-,35,2021
Mcnulty Brandon,69,-,11,-,-,34,2021
Doubey Fabien,78,-,11,-,-,33,2021
Sütterlin Jasha,108,-,12,-,-,32,2021
Wright Fred,96,-,12,-,-,32,2021
Armirail Bruno,83,-,12,-,-,31,2021
Koch Jonas,125,-,13,-,-,29,2021
Eekhoff Nils,126,-,13,-,-,29,2021
Donovan Mark,45,-,14,-,-,27,2021
Russo Clément,133,-,15,-,-,26,2021
Rutsch Jonas,55,-,15,-,-,26,2021
Cabot Jérémy,132,-,58,-,-,25,2021
De La Parte Víctor,72,-,33,-,-,25,2021
Barbero Carlos,124,-,17,-,-,25,2021
Boivin Guillaume,105,-,21,-,-,25,2021
Formolo Davide,44,-,20,-,-,25,2021
Sbaragli Kristian,106,-,28,-,-,25,2021
Schelling Ide,119,-,45,-,-,25,2021
Wallays Jelle,131,-,44,-,-,25,2021
Arcas Jorge,90,-,20,-,-,25,2021
Goldstein Omer,122,-,62,-,-,25,2021
Fernández Rubén,84,-,49,-,-,25,2021
Rickaert Jonas,95,-,16,-,-,25,2021
Rodríguez Cristián,46,-,26,-,-,25,2021
Geoghegan Hart Tao,60,-,29,-,-,25,2021
Bennett Sean,130,-,65,-,-,25,2021
Scotson Miles,-,-,12,-,-,6,2021
Hamilton Lucas,-,-,28,-,-,0,2021
De Bod Stefan,-,-,45,-,-,0,2021
Dlamini Nic,-,-,98,-,-,0,2021
Van Der Sande Tosh,-,-,17,-,-,0,2021
Campenaerts Victor,-,-,28,-,-,0,2021
Vliegen Loïc,-,-,30,-,-,0,2021
Froome Chris,1,4,1,7,7,4939,2022
Sagan Peter,42,-,1,12,12,4758,2022
Quintana Nairo,2,-,1,3,3,2901,2022
Bardet Romain,2,-,1,3,3,2863,2022
Thomas Geraint,1,1,1,3,3,2444,2022
Mollema Bauke,6,-,1,2,2,2292,2022
Kristoff Alexander,114,-,1,4,4,2283,2022
Rolland Pierre,8,-,1,2,2,2066,2022
Pogačar Tadej,1,2,1,6,6,2024,2022
Urán Rigoberto,2,-,1,1,1,1914,2022
Pinot Thibaut,3,-,1,3,3,1838,2022
Alaphilippe Julian,5,-,1,6,6,1678,2022
Landa Mikel,4,-,3,-,-,1610,2022
Roglič Primož,2,-,1,3,3,1577,2022
Van Avermaet Greg,28,-,1,2,2,1550,2022
Barguil Warren,10,-,1,2,2,1377,2022
Matthews Michael,67,-,1,3,3,1310,2022
Degenkolb John,109,-,1,1,1,1289,2022
Van Aert Wout,19,-,1,6,6,1208,2022
Kruijswijk Steven,3,-,3,-,-,1146,2022
Fuglsang Jakob,7,-,2,-,-,1074,2022
Majka Rafał,19,-,1,3,3,1070,2022
Groenewegen Dylan,145,-,1,4,4,1051,2022
Kwiatkowski Michał,11,-,1,1,1,1000,2022
Martin Guillaume,8,-,3,-,-,997,2022
Yates Adam,4,-,3,-,-,996,2022
Gilbert Philippe,38,-,1,1,1,992,2022
Ewan Caleb,132,-,1,5,5,880,2022
Trentin Matteo,52,-,1,3,3,859,2022
Caruso Damiano,10,-,4,-,-,847,2022
Mas Enric,5,-,4,-,-,821,2022
Coquard Bryan,104,-,2,-,-,814,2022
Meintjes Louis,8,-,4,-,-,805,2022
Bakelants Jan,18,-,1,1,1,739,2022
Stuyven Jasper,39,-,2,-,-,708,2022
Vingegaard Jonas,2,-,2,-,-,696,2022
Laporte Christophe,91,-,2,-,-,688,2022
Yates Simon,7,-,1,2,2,656,2022
Lutsenko Alexey,7,-,1,1,1,656,2022
Izagirre Ion,22,-,1,1,1,642,2022
Vuillermoz Alexis,13,-,1,1,1,617,2022
Izagirre Gorka,22,-,2,-,-,561,2022
Bennett Sam,138,-,1,2,2,528,2022
Geschke Simon,25,-,1,1,1,520,2022
Gaudu David,11,-,4,-,-,511,2022
Philipsen Jasper,109,-,2,-,-,465,2022
O'connor Ben,4,-,1,1,1,451,2022
López Miguel Ángel,6,-,1,1,1,440,2022
Jungels Bob,11,-,4,-,-,436,2022
Teuns Dylan,17,-,1,2,2,404,2022
Kuss Sepp,15,-,1,1,1,390,2022
Benoot Tiesj,20,-,2,-,-,373,2022
Kragh Andersen Søren,52,-,1,2,2,370,2022
Latour Pierre,13,-,2,-,-,354,2022
Erviti Imanol,67,-,2,-,-,348,2022
Castroviejo Jonathan,23,-,6,-,-,340,2022
Küng Stefan,49,-,2,-,-,340,2022
Mezgec Luka,88,-,2,-,-,334,2022
Naesen Oliver,61,-,4,-,-,333,2022
Konrad Patrick,27,-,1,1,1,321,2022
Bol Cees,140,-,2,-,-,308,2022
Mohorič Matej,31,-,1,2,2,305,2022
Asgreen Kasper,64,-,2,-,-,291,2022
Politt Nils,50,-,1,1,1,285,2022
Hirschi Marc,54,-,1,1,1,284,2022
Cort Magnus,56,-,1,1,1,284,2022
Arndt Nikias,67,-,2,-,-,276,2022
Pedersen Mads,124,-,2,-,-,276,2022
Valgren Michael,44,-,4,-,-,260,2022
Meurisse Xandro,21,-,3,-,-,253,2022
Teunissen Mike,76,-,1,1,1,245,2022
Périchon Pierre-luc,42,-,4,-,-,242,2022
Ladagnous Matthieu,71,-,5,-,-,235,2022
Mørkøv Michael,93,-,2,-,-,231,2022
Pasqualon Andrea,88,-,6,-,-,228,2022
Soler Marc,21,-,7,-,-,225,2022
Verona Carlos,19,-,3,-,-,216,2022
Van Poppel Danny,120,-,3,-,-,211,2022
Bennett George,24,-,7,-,-,207,2022
Van Der Poel Mathieu,-,-,1,1,1,200,2022
Martínez Daniel Felipe,28,-,1,1,1,199,2022
Bonnamour Franck,22,-,5,-,-,194,2022
Oliveira Nelson,47,-,3,-,-,183,2022
Paret-peintre Aurélien,15,-,7,-,-,182,2022
Durbridge Luke,100,-,7,-,-,172,2022
Delaplace Anthony,78,-,10,-,-,168,2022
Turgis Anthony,73,-,9,-,-,168,2022
Van Baarle Dylan,46,-,10,-,-,160,2022
Guerreiro Ruben,18,-,5,-,-,159,2022
Dennis Rohan,101,-,1,1,1,157,2022
Woods Michael,32,-,3,-,-,152,2022
Lampaert Yves,80,-,3,-,-,148,2022
Madouas Valentin,27,-,4,-,-,137,2022
Bettiol Alberto,62,-,5,-,-,135,2022
Schachmann Maximilian,57,-,3,-,-,115,2022
Petit Adrien,126,-,5,-,-,115,2022
Ciccone Giulio,31,-,2,-,-,115,2022
De Buyst Jasper,118,-,10,-,-,105,2022
Laengen Vegard Stake,82,-,14,-,-,102,2022
Haig Jack,38,-,4,-,-,75,2022
Cosnefroy Benoît,107,-,20,-,-,75,2022
Sivakov Pavel,87,-,4,-,-,65,2022
Bissegger Stefan,103,-,5,-,-,61,2022
Swift Connor,89,-,11,-,-,58,2022
Van Moer Brent,65,-,8,-,-,57,2022
Bjerg Mikkel,110,-,7,-,-,55,2022
Wellens Tim,94,-,13,-,-,54,2022
Dillier Silvan,59,-,14,-,-,54,2022
Van Keirsbulck Guillaume,123,-,13,-,-,54,2022
Cavagna Rémi,113,-,6,-,-,51,2022
Gougeard Alexis,115,-,29,-,-,50,2022
Sénéchal Florian,135,-,34,-,-,50,2022
Gogl Michael,113,-,16,-,-,50,2022
Declercq Tim,127,-,22,-,-,50,2022
Pichon Laurent,98,-,19,-,-,50,2022
Le Gac Olivier,127,-,16,-,-,50,2022
Zimmermann Georg,80,-,8,-,-,43,2022
Mcnulty Brandon,69,-,11,-,-,34,2022
Doubey Fabien,78,-,11,-,-,33,2022
Armirail Bruno,83,-,12,-,-,31,2022
Würtz Schmidt Mads,117,-,13,-,-,31,2022
Eekhoff Nils,126,-,13,-,-,29,2022
Rutsch Jonas,55,-,15,-,-,26,2022
Großschartner Felix,63,-,32,-,-,25,2022
Moscon Gianni,84,-,29,-,-,25,2022
Tolhoek Antwan,37,-,18,-,-,25,2022
Goldstein Omer,122,-,62,-,-,25,2022
Archbold Shane,-,-,10,-,-,10,2022
