team,team_class,team_points,year
Movistar Team,WT,5145,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Trek - Segafredo,WT,2178,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Trek - Segafredo,WT,2178,2016
Team LottoNL-Jumbo,WT,2134,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Trek - Segafredo,WT,2178,2016
Team LottoNL-Jumbo,WT,2134,2016
Team Giant - Alpecin,WT,2063,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Trek - Segafredo,WT,2178,2016
Team LottoNL-Jumbo,WT,2134,2016
Team Giant - Alpecin,WT,2063,2016
Tinkoff,WT,2003,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Trek - Segafredo,WT,2178,2016
Team LottoNL-Jumbo,WT,2134,2016
Team Giant - Alpecin,WT,2063,2016
Tinkoff,WT,2003,2016
AG2R La Mondiale,WT,1993,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Trek - Segafredo,WT,2178,2016
Team LottoNL-Jumbo,WT,2134,2016
Team Giant - Alpecin,WT,2063,2016
Tinkoff,WT,2003,2016
AG2R La Mondiale,WT,1993,2016
Team Dimension Data,WT,1804,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Trek - Segafredo,WT,2178,2016
Team LottoNL-Jumbo,WT,2134,2016
Team Giant - Alpecin,WT,2063,2016
Tinkoff,WT,2003,2016
AG2R La Mondiale,WT,1993,2016
Team Dimension Data,WT,1804,2016
FDJ,WT,1707,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Trek - Segafredo,WT,2178,2016
Team LottoNL-Jumbo,WT,2134,2016
Team Giant - Alpecin,WT,2063,2016
Tinkoff,WT,2003,2016
AG2R La Mondiale,WT,1993,2016
Team Dimension Data,WT,1804,2016
FDJ,WT,1707,2016
IAM Cycling,WT,1607,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Trek - Segafredo,WT,2178,2016
Team LottoNL-Jumbo,WT,2134,2016
Team Giant - Alpecin,WT,2063,2016
Tinkoff,WT,2003,2016
AG2R La Mondiale,WT,1993,2016
Team Dimension Data,WT,1804,2016
FDJ,WT,1707,2016
IAM Cycling,WT,1607,2016
Wilier - Southeast,PCT,1423,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Trek - Segafredo,WT,2178,2016
Team LottoNL-Jumbo,WT,2134,2016
Team Giant - Alpecin,WT,2063,2016
Tinkoff,WT,2003,2016
AG2R La Mondiale,WT,1993,2016
Team Dimension Data,WT,1804,2016
FDJ,WT,1707,2016
IAM Cycling,WT,1607,2016
Wilier - Southeast,PCT,1423,2016
Nippo - Vini Fantini ,PCT,1397,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Trek - Segafredo,WT,2178,2016
Team LottoNL-Jumbo,WT,2134,2016
Team Giant - Alpecin,WT,2063,2016
Tinkoff,WT,2003,2016
AG2R La Mondiale,WT,1993,2016
Team Dimension Data,WT,1804,2016
FDJ,WT,1707,2016
IAM Cycling,WT,1607,2016
Wilier - Southeast,PCT,1423,2016
Nippo - Vini Fantini ,PCT,1397,2016
Bardiani - CSF,PCT,1119,2016
Movistar Team,WT,5145,2016
Lotto Soudal,WT,4426,2016
Astana Pro Team,WT,3514,2016
Cannondale Pro Cycling Team,WT,3424,2016
Team Sky,WT,3420,2016
Orica GreenEDGE,WT,2980,2016
Team Katusha ,WT,2635,2016
Lampre - Merida,WT,2333,2016
BMC Racing Team,WT,2275,2016
Etixx - Quick Step,WT,2200,2016
Trek - Segafredo,WT,2178,2016
Team LottoNL-Jumbo,WT,2134,2016
Team Giant - Alpecin,WT,2063,2016
Tinkoff,WT,2003,2016
AG2R La Mondiale,WT,1993,2016
Team Dimension Data,WT,1804,2016
FDJ,WT,1707,2016
IAM Cycling,WT,1607,2016
Wilier - Southeast,PCT,1423,2016
Nippo - Vini Fantini ,PCT,1397,2016
Bardiani - CSF,PCT,1119,2016
Gazprom-RusVelo,PCT,800,2016
Movistar Team,WT,3999,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Cannondale-Drapac Pro Cycling Team,WT,2419,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Cannondale-Drapac Pro Cycling Team,WT,2419,2017
Bahrain Merida Pro Cycling Team,WT,2364,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Cannondale-Drapac Pro Cycling Team,WT,2419,2017
Bahrain Merida Pro Cycling Team,WT,2364,2017
Team Dimension Data,WT,2158,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Cannondale-Drapac Pro Cycling Team,WT,2419,2017
Bahrain Merida Pro Cycling Team,WT,2364,2017
Team Dimension Data,WT,2158,2017
Team LottoNL-Jumbo,WT,2117,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Cannondale-Drapac Pro Cycling Team,WT,2419,2017
Bahrain Merida Pro Cycling Team,WT,2364,2017
Team Dimension Data,WT,2158,2017
Team LottoNL-Jumbo,WT,2117,2017
FDJ,WT,1979,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Cannondale-Drapac Pro Cycling Team,WT,2419,2017
Bahrain Merida Pro Cycling Team,WT,2364,2017
Team Dimension Data,WT,2158,2017
Team LottoNL-Jumbo,WT,2117,2017
FDJ,WT,1979,2017
Team Katusha Alpecin,WT,1844,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Cannondale-Drapac Pro Cycling Team,WT,2419,2017
Bahrain Merida Pro Cycling Team,WT,2364,2017
Team Dimension Data,WT,2158,2017
Team LottoNL-Jumbo,WT,2117,2017
FDJ,WT,1979,2017
Team Katusha Alpecin,WT,1844,2017
BORA - hansgrohe,WT,1791,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Cannondale-Drapac Pro Cycling Team,WT,2419,2017
Bahrain Merida Pro Cycling Team,WT,2364,2017
Team Dimension Data,WT,2158,2017
Team LottoNL-Jumbo,WT,2117,2017
FDJ,WT,1979,2017
Team Katusha Alpecin,WT,1844,2017
BORA - hansgrohe,WT,1791,2017
Astana Pro Team,WT,1765,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Cannondale-Drapac Pro Cycling Team,WT,2419,2017
Bahrain Merida Pro Cycling Team,WT,2364,2017
Team Dimension Data,WT,2158,2017
Team LottoNL-Jumbo,WT,2117,2017
FDJ,WT,1979,2017
Team Katusha Alpecin,WT,1844,2017
BORA - hansgrohe,WT,1791,2017
Astana Pro Team,WT,1765,2017
AG2R La Mondiale,WT,1603,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Cannondale-Drapac Pro Cycling Team,WT,2419,2017
Bahrain Merida Pro Cycling Team,WT,2364,2017
Team Dimension Data,WT,2158,2017
Team LottoNL-Jumbo,WT,2117,2017
FDJ,WT,1979,2017
Team Katusha Alpecin,WT,1844,2017
BORA - hansgrohe,WT,1791,2017
Astana Pro Team,WT,1765,2017
AG2R La Mondiale,WT,1603,2017
Wilier Triestina - Selle Italia,PCT,1391,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Cannondale-Drapac Pro Cycling Team,WT,2419,2017
Bahrain Merida Pro Cycling Team,WT,2364,2017
Team Dimension Data,WT,2158,2017
Team LottoNL-Jumbo,WT,2117,2017
FDJ,WT,1979,2017
Team Katusha Alpecin,WT,1844,2017
BORA - hansgrohe,WT,1791,2017
Astana Pro Team,WT,1765,2017
AG2R La Mondiale,WT,1603,2017
Wilier Triestina - Selle Italia,PCT,1391,2017
CCC Sprandi Polkowice ,PCT,1033,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Cannondale-Drapac Pro Cycling Team,WT,2419,2017
Bahrain Merida Pro Cycling Team,WT,2364,2017
Team Dimension Data,WT,2158,2017
Team LottoNL-Jumbo,WT,2117,2017
FDJ,WT,1979,2017
Team Katusha Alpecin,WT,1844,2017
BORA - hansgrohe,WT,1791,2017
Astana Pro Team,WT,1765,2017
AG2R La Mondiale,WT,1603,2017
Wilier Triestina - Selle Italia,PCT,1391,2017
CCC Sprandi Polkowice ,PCT,1033,2017
Bardiani - CSF,PCT,962,2017
Movistar Team,WT,3999,2017
BMC Racing Team,WT,3840,2017
Quick-Step Floors,WT,3229,2017
ORICA-Scott,WT,3035,2017
Trek - Segafredo,WT,2941,2017
Team Sunweb,WT,2929,2017
UAE Team Emirates,WT,2871,2017
Team Sky,WT,2722,2017
Lotto Soudal,WT,2722,2017
Cannondale-Drapac Pro Cycling Team,WT,2419,2017
Bahrain Merida Pro Cycling Team,WT,2364,2017
Team Dimension Data,WT,2158,2017
Team LottoNL-Jumbo,WT,2117,2017
FDJ,WT,1979,2017
Team Katusha Alpecin,WT,1844,2017
BORA - hansgrohe,WT,1791,2017
Astana Pro Team,WT,1765,2017
AG2R La Mondiale,WT,1603,2017
Wilier Triestina - Selle Italia,PCT,1391,2017
CCC Sprandi Polkowice ,PCT,1033,2017
Bardiani - CSF,PCT,962,2017
Gazprom-RusVelo,PCT,876,2017
Team Sky,WT,4577,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
