team,team_class,team_points,year
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Groupama - FDJ,WT,1783,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Groupama - FDJ,WT,1783,2018
Androni Giocattoli - Sidermec,PCT,1751,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Groupama - FDJ,WT,1783,2018
Androni Giocattoli - Sidermec,PCT,1751,2018
Trek - Segafredo,WT,1747,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Groupama - FDJ,WT,1783,2018
Androni Giocattoli - Sidermec,PCT,1751,2018
Trek - Segafredo,WT,1747,2018
Team Katusha Alpecin,WT,1595,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Groupama - FDJ,WT,1783,2018
Androni Giocattoli - Sidermec,PCT,1751,2018
Trek - Segafredo,WT,1747,2018
Team Katusha Alpecin,WT,1595,2018
AG2R La Mondiale,WT,1459,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Groupama - FDJ,WT,1783,2018
Androni Giocattoli - Sidermec,PCT,1751,2018
Trek - Segafredo,WT,1747,2018
Team Katusha Alpecin,WT,1595,2018
AG2R La Mondiale,WT,1459,2018
Wilier Triestina - Selle Italia,PCT,1443,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Groupama - FDJ,WT,1783,2018
Androni Giocattoli - Sidermec,PCT,1751,2018
Trek - Segafredo,WT,1747,2018
Team Katusha Alpecin,WT,1595,2018
AG2R La Mondiale,WT,1459,2018
Wilier Triestina - Selle Italia,PCT,1443,2018
Team Dimension Data,WT,1425,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Groupama - FDJ,WT,1783,2018
Androni Giocattoli - Sidermec,PCT,1751,2018
Trek - Segafredo,WT,1747,2018
Team Katusha Alpecin,WT,1595,2018
AG2R La Mondiale,WT,1459,2018
Wilier Triestina - Selle Italia,PCT,1443,2018
Team Dimension Data,WT,1425,2018
Israel Cycling Academy,PCT,1342,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Groupama - FDJ,WT,1783,2018
Androni Giocattoli - Sidermec,PCT,1751,2018
Trek - Segafredo,WT,1747,2018
Team Katusha Alpecin,WT,1595,2018
AG2R La Mondiale,WT,1459,2018
Wilier Triestina - Selle Italia,PCT,1443,2018
Team Dimension Data,WT,1425,2018
Israel Cycling Academy,PCT,1342,2018
Movistar Team,WT,1235,2018
Team Sky,WT,4577,2018
Astana Pro Team,WT,3870,2018
UAE Team Emirates,WT,3589,2018
Quick-Step Floors,WT,3559,2018
Lotto Fix All,WT,3137,2018
Mitchelton-Scott,WT,3123,2018
Bahrain Merida Pro Cycling Team,WT,3094,2018
BMC Racing Team,WT,2887,2018
Team Sunweb,WT,2736,2018
BORA - hansgrohe,WT,2420,2018
Team LottoNL-Jumbo,WT,2138,2018
Team EF Education First-Drapac p/b Cannondale,WT,1784,2018
Groupama - FDJ,WT,1783,2018
Androni Giocattoli - Sidermec,PCT,1751,2018
Trek - Segafredo,WT,1747,2018
Team Katusha Alpecin,WT,1595,2018
AG2R La Mondiale,WT,1459,2018
Wilier Triestina - Selle Italia,PCT,1443,2018
Team Dimension Data,WT,1425,2018
Israel Cycling Academy,PCT,1342,2018
Movistar Team,WT,1235,2018
Bardiani - CSF,PCT,1200,2018
Astana Pro Team,WT,4562,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Trek - Segafredo,WT,2435,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Trek - Segafredo,WT,2435,2019
Groupama - FDJ,WT,2421,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Trek - Segafredo,WT,2435,2019
Groupama - FDJ,WT,2421,2019
Movistar Team,WT,2153,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Trek - Segafredo,WT,2435,2019
Groupama - FDJ,WT,2421,2019
Movistar Team,WT,2153,2019
Lotto Soudal,WT,2095,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Trek - Segafredo,WT,2435,2019
Groupama - FDJ,WT,2421,2019
Movistar Team,WT,2153,2019
Lotto Soudal,WT,2095,2019
Team INEOS,WT,2042,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Trek - Segafredo,WT,2435,2019
Groupama - FDJ,WT,2421,2019
Movistar Team,WT,2153,2019
Lotto Soudal,WT,2095,2019
Team INEOS,WT,2042,2019
Team Katusha Alpecin,WT,1799,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Trek - Segafredo,WT,2435,2019
Groupama - FDJ,WT,2421,2019
Movistar Team,WT,2153,2019
Lotto Soudal,WT,2095,2019
Team INEOS,WT,2042,2019
Team Katusha Alpecin,WT,1799,2019
Team Dimension Data,WT,1705,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Trek - Segafredo,WT,2435,2019
Groupama - FDJ,WT,2421,2019
Movistar Team,WT,2153,2019
Lotto Soudal,WT,2095,2019
Team INEOS,WT,2042,2019
Team Katusha Alpecin,WT,1799,2019
Team Dimension Data,WT,1705,2019
EF Education First,WT,1626,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Trek - Segafredo,WT,2435,2019
Groupama - FDJ,WT,2421,2019
Movistar Team,WT,2153,2019
Lotto Soudal,WT,2095,2019
Team INEOS,WT,2042,2019
Team Katusha Alpecin,WT,1799,2019
Team Dimension Data,WT,1705,2019
EF Education First,WT,1626,2019
AG2R La Mondiale,WT,1486,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Trek - Segafredo,WT,2435,2019
Groupama - FDJ,WT,2421,2019
Movistar Team,WT,2153,2019
Lotto Soudal,WT,2095,2019
Team INEOS,WT,2042,2019
Team Katusha Alpecin,WT,1799,2019
Team Dimension Data,WT,1705,2019
EF Education First,WT,1626,2019
AG2R La Mondiale,WT,1486,2019
Nippo Vini Fantini Faizanè,PCT,1298,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Trek - Segafredo,WT,2435,2019
Groupama - FDJ,WT,2421,2019
Movistar Team,WT,2153,2019
Lotto Soudal,WT,2095,2019
Team INEOS,WT,2042,2019
Team Katusha Alpecin,WT,1799,2019
Team Dimension Data,WT,1705,2019
EF Education First,WT,1626,2019
AG2R La Mondiale,WT,1486,2019
Nippo Vini Fantini Faizanè,PCT,1298,2019
Israel Cycling Academy,PCT,1292,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Trek - Segafredo,WT,2435,2019
Groupama - FDJ,WT,2421,2019
Movistar Team,WT,2153,2019
Lotto Soudal,WT,2095,2019
Team INEOS,WT,2042,2019
Team Katusha Alpecin,WT,1799,2019
Team Dimension Data,WT,1705,2019
EF Education First,WT,1626,2019
AG2R La Mondiale,WT,1486,2019
Nippo Vini Fantini Faizanè,PCT,1298,2019
Israel Cycling Academy,PCT,1292,2019
CCC Team,WT,1152,2019
Astana Pro Team,WT,4562,2019
Deceuninck - Quick Step,WT,4138,2019
Team Sunweb,WT,3763,2019
BORA - hansgrohe,WT,3674,2019
UAE Team Emirates,WT,3489,2019
Team Jumbo-Visma,WT,3398,2019
Mitchelton-Scott,WT,3354,2019
Bahrain Merida,WT,2657,2019
Androni Giocattoli - Sidermec,PCT,2502,2019
Trek - Segafredo,WT,2435,2019
Groupama - FDJ,WT,2421,2019
Movistar Team,WT,2153,2019
Lotto Soudal,WT,2095,2019
Team INEOS,WT,2042,2019
Team Katusha Alpecin,WT,1799,2019
Team Dimension Data,WT,1705,2019
EF Education First,WT,1626,2019
AG2R La Mondiale,WT,1486,2019
Nippo Vini Fantini Faizanè,PCT,1298,2019
Israel Cycling Academy,PCT,1292,2019
CCC Team,WT,1152,2019
Bardiani - CSF,PCT,446,2019
Astana Pro Team,WT,2840,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
