team,team_class,team_points,year
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Groupama - FDJ,WT,941,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Groupama - FDJ,WT,941,2020
Cofidis,WT,847,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Groupama - FDJ,WT,941,2020
Cofidis,WT,847,2020
Team Jumbo-Visma,WT,742,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Groupama - FDJ,WT,941,2020
Cofidis,WT,847,2020
Team Jumbo-Visma,WT,742,2020
EF Pro Cycling,WT,736,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Groupama - FDJ,WT,941,2020
Cofidis,WT,847,2020
Team Jumbo-Visma,WT,742,2020
EF Pro Cycling,WT,736,2020
AG2R La Mondiale,WT,735,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Groupama - FDJ,WT,941,2020
Cofidis,WT,847,2020
Team Jumbo-Visma,WT,742,2020
EF Pro Cycling,WT,736,2020
AG2R La Mondiale,WT,735,2020
Bahrain - McLaren,WT,717,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Groupama - FDJ,WT,941,2020
Cofidis,WT,847,2020
Team Jumbo-Visma,WT,742,2020
EF Pro Cycling,WT,736,2020
AG2R La Mondiale,WT,735,2020
Bahrain - McLaren,WT,717,2020
Israel Start-Up Nation,WT,583,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Groupama - FDJ,WT,941,2020
Cofidis,WT,847,2020
Team Jumbo-Visma,WT,742,2020
EF Pro Cycling,WT,736,2020
AG2R La Mondiale,WT,735,2020
Bahrain - McLaren,WT,717,2020
Israel Start-Up Nation,WT,583,2020
Vini Zabù - KTM,PRT,581,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Groupama - FDJ,WT,941,2020
Cofidis,WT,847,2020
Team Jumbo-Visma,WT,742,2020
EF Pro Cycling,WT,736,2020
AG2R La Mondiale,WT,735,2020
Bahrain - McLaren,WT,717,2020
Israel Start-Up Nation,WT,583,2020
Vini Zabù - KTM,PRT,581,2020
Lotto Soudal,WT,495,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Groupama - FDJ,WT,941,2020
Cofidis,WT,847,2020
Team Jumbo-Visma,WT,742,2020
EF Pro Cycling,WT,736,2020
AG2R La Mondiale,WT,735,2020
Bahrain - McLaren,WT,717,2020
Israel Start-Up Nation,WT,583,2020
Vini Zabù - KTM,PRT,581,2020
Lotto Soudal,WT,495,2020
NTT Pro Cycling,WT,466,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Groupama - FDJ,WT,941,2020
Cofidis,WT,847,2020
Team Jumbo-Visma,WT,742,2020
EF Pro Cycling,WT,736,2020
AG2R La Mondiale,WT,735,2020
Bahrain - McLaren,WT,717,2020
Israel Start-Up Nation,WT,583,2020
Vini Zabù - KTM,PRT,581,2020
Lotto Soudal,WT,495,2020
NTT Pro Cycling,WT,466,2020
Movistar Team,WT,365,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Groupama - FDJ,WT,941,2020
Cofidis,WT,847,2020
Team Jumbo-Visma,WT,742,2020
EF Pro Cycling,WT,736,2020
AG2R La Mondiale,WT,735,2020
Bahrain - McLaren,WT,717,2020
Israel Start-Up Nation,WT,583,2020
Vini Zabù - KTM,PRT,581,2020
Lotto Soudal,WT,495,2020
NTT Pro Cycling,WT,466,2020
Movistar Team,WT,365,2020
Androni Giocattoli - Sidermec,PRT,346,2020
Astana Pro Team,WT,2840,2020
UAE Team Emirates,WT,1982,2020
Mitchelton-Scott,WT,1737,2020
Team Sunweb,WT,1708,2020
INEOS Grenadiers,WT,1676,2020
BORA - hansgrohe,WT,1479,2020
Deceuninck - Quick Step,WT,1415,2020
Trek - Segafredo,WT,1339,2020
CCC Team,WT,1016,2020
Groupama - FDJ,WT,941,2020
Cofidis,WT,847,2020
Team Jumbo-Visma,WT,742,2020
EF Pro Cycling,WT,736,2020
AG2R La Mondiale,WT,735,2020
Bahrain - McLaren,WT,717,2020
Israel Start-Up Nation,WT,583,2020
Vini Zabù - KTM,PRT,581,2020
Lotto Soudal,WT,495,2020
NTT Pro Cycling,WT,466,2020
Movistar Team,WT,365,2020
Androni Giocattoli - Sidermec,PRT,346,2020
Bardiani-CSF-Faizanè,PRT,177,2020
Bahrain - Victorious,WT,3186,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
UAE Team Emirates,WT,1562,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
UAE Team Emirates,WT,1562,2021
Lotto Soudal,WT,1522,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
UAE Team Emirates,WT,1562,2021
Lotto Soudal,WT,1522,2021
Israel Start-Up Nation,WT,1405,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
UAE Team Emirates,WT,1562,2021
Lotto Soudal,WT,1522,2021
Israel Start-Up Nation,WT,1405,2021
Team BikeExchange,WT,1263,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
UAE Team Emirates,WT,1562,2021
Lotto Soudal,WT,1522,2021
Israel Start-Up Nation,WT,1405,2021
Team BikeExchange,WT,1263,2021
Movistar Team,WT,1241,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
UAE Team Emirates,WT,1562,2021
Lotto Soudal,WT,1522,2021
Israel Start-Up Nation,WT,1405,2021
Team BikeExchange,WT,1263,2021
Movistar Team,WT,1241,2021
Team Jumbo-Visma,WT,1045,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
UAE Team Emirates,WT,1562,2021
Lotto Soudal,WT,1522,2021
Israel Start-Up Nation,WT,1405,2021
Team BikeExchange,WT,1263,2021
Movistar Team,WT,1241,2021
Team Jumbo-Visma,WT,1045,2021
AG2R Citroën Team,WT,1038,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
UAE Team Emirates,WT,1562,2021
Lotto Soudal,WT,1522,2021
Israel Start-Up Nation,WT,1405,2021
Team BikeExchange,WT,1263,2021
Movistar Team,WT,1241,2021
Team Jumbo-Visma,WT,1045,2021
AG2R Citroën Team,WT,1038,2021
Groupama - FDJ,WT,1035,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
UAE Team Emirates,WT,1562,2021
Lotto Soudal,WT,1522,2021
Israel Start-Up Nation,WT,1405,2021
Team BikeExchange,WT,1263,2021
Movistar Team,WT,1241,2021
Team Jumbo-Visma,WT,1045,2021
AG2R Citroën Team,WT,1038,2021
Groupama - FDJ,WT,1035,2021
Cofidis,WT,937,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
UAE Team Emirates,WT,1562,2021
Lotto Soudal,WT,1522,2021
Israel Start-Up Nation,WT,1405,2021
Team BikeExchange,WT,1263,2021
Movistar Team,WT,1241,2021
Team Jumbo-Visma,WT,1045,2021
AG2R Citroën Team,WT,1038,2021
Groupama - FDJ,WT,1035,2021
Cofidis,WT,937,2021
Bardiani-CSF-Faizanè,PRT,644,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
UAE Team Emirates,WT,1562,2021
Lotto Soudal,WT,1522,2021
Israel Start-Up Nation,WT,1405,2021
Team BikeExchange,WT,1263,2021
Movistar Team,WT,1241,2021
Team Jumbo-Visma,WT,1045,2021
AG2R Citroën Team,WT,1038,2021
Groupama - FDJ,WT,1035,2021
Cofidis,WT,937,2021
Bardiani-CSF-Faizanè,PRT,644,2021
Intermarché - Wanty - Gobert Matériaux,WT,620,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
UAE Team Emirates,WT,1562,2021
Lotto Soudal,WT,1522,2021
Israel Start-Up Nation,WT,1405,2021
Team BikeExchange,WT,1263,2021
Movistar Team,WT,1241,2021
Team Jumbo-Visma,WT,1045,2021
AG2R Citroën Team,WT,1038,2021
Groupama - FDJ,WT,1035,2021
Cofidis,WT,937,2021
Bardiani-CSF-Faizanè,PRT,644,2021
Intermarché - Wanty - Gobert Matériaux,WT,620,2021
Androni Giocattoli - Sidermec,PRT,480,2021
Bahrain - Victorious,WT,3186,2021
Deceuninck - Quick Step,WT,3038,2021
INEOS Grenadiers,WT,2917,2021
Trek - Segafredo,WT,2367,2021
Astana - Premier Tech,WT,2166,2021
BORA - hansgrohe,WT,2007,2021
Alpecin-Fenix,PRT,1680,2021
Team Qhubeka ASSOS,WT,1654,2021
Team DSM,WT,1652,2021
EF Education - Nippo,WT,1601,2021
UAE Team Emirates,WT,1562,2021
Lotto Soudal,WT,1522,2021
Israel Start-Up Nation,WT,1405,2021
Team BikeExchange,WT,1263,2021
Movistar Team,WT,1241,2021
Team Jumbo-Visma,WT,1045,2021
AG2R Citroën Team,WT,1038,2021
Groupama - FDJ,WT,1035,2021
Cofidis,WT,937,2021
Bardiani-CSF-Faizanè,PRT,644,2021
Intermarché - Wanty - Gobert Matériaux,WT,620,2021
Androni Giocattoli - Sidermec,PRT,480,2021
EOLO-Kometa,PRT,124,2021
